ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
RRdh 2,pedregosa,,ondulado,0.5559999999999999,,,,0,,,,0,,,,0,,plano e suave ondulado,,0,0.5559999999999999,"NEOSSOLO, REGOLITICO, Distro-umbrico, tipico",,,,"GLEISSOLOS, distrofico, tipico",argilosa cascalhenta,,,,"argilosa, media","NEOSSOLO, REGOLITICO, Distro-umbrico, tipico - RRdh 2"
RRe 3,pedregosa,rochosa,forte ondulado,0.139,,,,0,,,,0,,,,0,,,,0,0.139,"NEOSSOLO, REGOLITICO, Eutrofico, leptico",,,,,argilosa cascalhenta,,,,,"NEOSSOLO, REGOLITICO, Eutrofico, leptico - RRe 3"
RRdh 1,pedregosa,,montanhoso,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Distro-umbrico, leptico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Distro-umbrico, leptico - RRdh 1"
RRdh 3,pedregosa,rochosa,forte ondulado,0.33599999999999997,,,,0,,,,0,,,,0,,,,0,0.33599999999999997,"NEOSSOLO, REGOLITICO, Distro-umbrico, tipico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Distro-umbrico, tipico - RRdh 3"
RRe 1, ,,forte ondulado,0.84,,,,0,,,,0,,,,0,,plano e suave ondulado,,0,0.84,"NEOSSOLO, REGOLITICO, Eutrofico, leptico",,,,"GLEISSOLOS, alico e distrofico, plintico e nao plintico",media,,,,"argilosa, media","NEOSSOLO, REGOLITICO, Eutrofico, leptico - RRe 1"
RRe 4,pedregosa,rochosa,forte ondulado,0.33599999999999997,,,,0,,,,0,,,,0,,,,0,0.33599999999999997,"NEOSSOLO, REGOLITICO, Eutrofico, tipico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Eutrofico, tipico - RRe 4"
RRe 5,pedregosa,,ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Eutrofico, tipico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Eutrofico, tipico - RRe 5"
RReh 1,pedregosa,,forte ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Eutro-umbrico, leptico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Eutro-umbrico, leptico - RReh 1"
RReh 3,pedregosa,,forte ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Eutro-umbrico, leptico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Eutro-umbrico, leptico - RReh 3"
RReh 5,pedregosa,rochosa,forte ondulado,0.33599999999999997,,,,0,,,,0,,,,0,,,,0,0.33599999999999997,"NEOSSOLO, REGOLITICO, Eutro-umbrico, tipico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Eutro-umbrico, tipico - RReh 5"
RReh 6,pedregosa,,forte ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Eutro-umbrico, tipico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Eutro-umbrico, tipico - RReh 6"
RRh 2,pedregosa,,forte ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Humico, tipico",,,,,media,,,,,"NEOSSOLO, REGOLITICO, Humico, tipico - RRh 2"
RRe 2,pedregosa,,forte ondulado,0.33599999999999997,,,,0,,,,0,,,,0,,,,0,0.33599999999999997,"NEOSSOLO, REGOLITICO, Eutrofico, leptico",,,,,media cascalhenta,,,,,"NEOSSOLO, REGOLITICO, Eutrofico, leptico - RRe 2"
RReh 4,pedregosa,,moderadamente ondulado,0.33599999999999997,,,,0,,,,0,,,,0,,,,0,0.33599999999999997,"NEOSSOLO, REGOLITICO, Eutro-umbrico, tipico",,,,,media cascalhenta,,,,,"NEOSSOLO, REGOLITICO, Eutro-umbrico, tipico - RReh 4"
RRh 1, ,,suave ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Humico, leptico",,,,,media cascalhenta,,,,,"NEOSSOLO, REGOLITICO, Humico, leptico - RRh 1"
RReh 2,pedregosa,,suave ondulado,0.588,,,,0,,,,0,,,,0,,,,0,0.588,"NEOSSOLO, REGOLITICO, Eutro-umbrico, leptico",,,,,media com cascalho,,,,,"NEOSSOLO, REGOLITICO, Eutro-umbrico, leptico - RReh 2"
RRh 3,pedregosa,,forte ondulado,1.022,,,,0,,,,0,,,,0,,,,0,1.022,"NEOSSOLO, REGOLITICO, Humico, tipico",,,,,media/argilosa,,,,,"NEOSSOLO, REGOLITICO, Humico, tipico - RRh 3"
SXal 1, ,,suave ondulado,1.07,,,,0,,,,0,,,,0,,,,0,1.07,"PLANOSSOLO, HAPLICO, Alitico, tipico",,,,,media,,,,,"PLANOSSOLO, HAPLICO, Alitico, tipico - SXal 1"
SXal 2, ,,suave ondulado,1.07,,,,0,,,,0,,,,0,,,,0,1.07,"PLANOSSOLO, HAPLICO, Alitico, tipico",,,,,media/muito argilosa,,,,,"PLANOSSOLO, HAPLICO, Alitico, tipico - SXal 2"
SXal 3, ,,plano,1.07,,,,0,,,,0,,,,0,,,,0,1.07,"PLANOSSOLO, HAPLICO, Distrofico, tipico",,,,,media,,,,,"PLANOSSOLO, HAPLICO, Distrofico, tipico - SXal 3"
SXal 4, ,,plano,1.39,,,,0,,,,0,,,,0,,,,0,1.39,"PLANOSSOLO, HAPLICO, Distrofico, tipico",,,,,argilosa/muito argilosa,,,,,"PLANOSSOLO, HAPLICO, Distrofico, tipico - SXal 4"
