ind_csv,pedrego_c1,rocho_c1,relevo_c1,ad_c1,pedrego_c2,rocho_c2,relevo_c2,ad_c2,pedrego_c3,rocho_c3,relevo_c3,ad_c3,pedrego_c4,rocho_c4,relevo_c4,ad_c4,pedrego_c5,rocho_c5,relevo_c5,ad_c5,ad_um,solos_c1,solos_c2,solos_c3,solos_c4,solos_c5,textura_c1,textura_c2,textura_c3,textura_c4,textura_c5,c1_class
NV1,,,forte ondulado e montanhoso,1.31,epipedregosa ou não,,forte ondulado e montanhoso,0.4125,,,forte ondulado e montanhoso,1.31,,,,0.0,,,,0,1.04075,"NITOSSOLO, VERMELHO, Eutrófico, típico","NEOSSOLO, LITÓLICO, Eutrófico, fragmentário","ARGISSOLO, VERMELHO, Eutrófico, típico",,,argilosa,média cascalhenta,média/argilosa,,,"NITOSSOLO, VERMELHO, Eutrófico, típico - NV1"
NV2,,,suave ondulado e ondulado,1.31,epipedregosa,,suave ondulado e ondulado,0.8721000000000001,,,suave ondulado e forte ondulado,1.31,,,,0.0,,,,0,1.17863,"NITOSSOLO, VERMELHO, Eutrófico, típico","NEOSSOLO, LITÓLICO, Eutrófico, fragmentário","ARGISSOLO, VERMELHO, Eutrófico, típico",,,argilosa,"média, argilosa",média/argilosa,,,"NITOSSOLO, VERMELHO, Eutrófico, típico - NV2"
NV3,,,ondulado,1.31,,,ondulado,1.0859999999999999,pedregosa,rochosa,ondulado e forte ondulado,0.3,,,,0.0,,,,0,1.0408,"NITOSSOLO, VERMELHO, Eutrófico, típico","LATOSSOLO, VERMELHO-AMARELO, Eutrófico, cambissólico","NEOSSOLO, LITÓLICO, Eutrófico, fragmentário",,,argilosa,"média, argilosa",média,,,"NITOSSOLO, VERMELHO, Eutrófico, típico - NV3"
PA1 ,,,plano e suave ondulado,1.09,,,plano e suave ondulado,0.91,,,,0.0,,,,0.0,,,,0,1.0270000000000001,"ARGISSOLO, AMARELO e AMARELO e VERMELHO-AMARELO e VERMELHO-AMARELO, Distrófico e Eutrófico e Distrófico e Eutrófico, típico e fragipânico","LATOSSOLO, AMARELO e VERMELHO-AMARELO, Distrófico, típico",,,,"média/média, argilosa",média,,,,"ARGISSOLO, AMARELO e AMARELO e VERMELHO-AMARELO e VERMELHO-AMARELO, Distrófico e Eutrófico e Distrófico e Eutrófico, típico e fragipânico - PA1 "
PA2,,,suave ondulado e plano,0.8645,,,suave ondulado e plano,0.525,,,suave ondulado e plano,1.07,,,,0.0,,,,0,0.6308500000000001,"ARGISSOLO, AMARELO e VERMELHO-AMARELO, Eutrófico, léptico","NEOSSOLO, LITÓLICO, Eutrófico, típico","PLANOSSOLO, HÁPLICO, Eutrófico, típico",AFLORAMENTO DE ROCHA,,"média cascalhenta, média",média cascalhenta,"média/média, argilosa",,,"ARGISSOLO, AMARELO e VERMELHO-AMARELO, Eutrófico, léptico - PA2"
PA3,,,suave ondulado e ondulado,0.8075,,,suave ondulado e ondulado,0.525,,,,0.0,,,,0.0,,,,0,0.56125,"ARGISSOLO, AMARELO e VERMELHO-AMARELO, Eutrófico, léptico","NEOSSOLO, LITÓLICO, Eutrófico, típico",AFLORAMENTOS DE ROCHA,,,média cascalhenta/média,média cascalhenta,,,,"ARGISSOLO, AMARELO e VERMELHO-AMARELO, Eutrófico, léptico - PA3"
PV1,,,suave ondulado e plano,0.85,,,plano e suave ondulado,0.91,,,plano e suave ondulado,0.57,,,,0.0,,,,0,0.8119999999999999,"ARGISSOLO, VERMELHO e VERMELHO-AMARELO, Eutrófico, típico","LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico","NEOSSOLO, QUARTZARÊNICO, Órtico, típico",,,arenosa/média,média,arenosa,,,"ARGISSOLO, VERMELHO e VERMELHO-AMARELO, Eutrófico, típico - PV1"
PV2,,,ondulado e forte ondulado,1.31,,,plano,1.31,,,,0.0,,,,0.0,,,,0,1.31,"ARGISSOLO, VERMELHO, Eutrófico, típico","ARGISSOLO, VERMELHO e VERMELHO-AMARELO, Eutrófico, típico",,,,média/argilosa,média/argilosa,,,,"ARGISSOLO, VERMELHO, Eutrófico, típico - PV2"
PV3,,,ondulado e forte ondulado,1.31,,,ondulado e forte ondulado,0.45,,,suave ondulado,1.41,,,,0.0,,,,0,1.162,"ARGISSOLO, VERMELHO-AMARELO, Distrófico e Eutrófico, léptico","NEOSSOLO, LITÓLICO, Distrófico e Eutrófico, típico","VERTISSOLO, HÁPLICO, Órtico, típico",,,média/argilosa,"arenosa, média com cascalho a cascalhenta","argilosa, muito argilosa",,,"ARGISSOLO, VERMELHO-AMARELO, Distrófico e Eutrófico, léptico - PV3"
PV4,,,plano e suave ondulado,0.89,,,plano e suave ondulado,0.91,,,plano e suave ondulado,0.57,,,,0.0,,,,0,0.832,"ARGISSOLO, VERMELHO e VERMELHO-AMARELO e VERMELHO-AMARELO, Eutrófico e Eutrófico e Distrófico, típico","LATOSSOLO, VERMELHO-AMARELO, Distrófico, típico","NEOSSOLO, QUARTZARÊNICO, Órtico, típico e latossólico",,,"arenosa/média, média/média",média,arenosa,,,"ARGISSOLO, VERMELHO e VERMELHO-AMARELO e VERMELHO-AMARELO, Eutrófico e Eutrófico e Distrófico, típico - PV4"
